z,mu,mu_err
0.50309	,42.23445,0.12605
0.49480,42.18020,0.11765
0.67767,43.33770,0.20560
0.86650,43.64685,0.17385
0.79857,43.66050,0.17435
0.37144,41.58785,0.12450
0.35582,41.35915,0.12645
0.28360,40.70915,0.10280
0.46640,42.51635,0.15870
0.94688,43.71155,0.16420
